time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11
140;0;0.0;0.0;4.6;749948;1732008;87;2.7;19;7.9;9.9;1.9;0.90;0.90;5.9;7.9;3.9;5.9;0.90;0.90;1.9
141;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;8.0;10;1.00;1.00;1.00;6.0;8.0;4.0;6.0;3.0;2.0;1.00
142;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;9.0;10;2.0;2.0;0.0;6.0;9.0;5.0;6.0;2.0;2.0;1.00
143;0;0.0;0.0;4.6;749948;1732008;87;2.7;19;8.9;9.9;2.9;3.9;1.9;5.9;8.9;3.9;5.9;1.9;2.9;1.9
144;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;8.0;10;2.0;2.0;3.0;7.0;9.0;5.0;10;2.0;2.0;1.00
145;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;7.9;9.9;0.90;1.9;1.9;4.9;8.9;3.9;5.9;1.9;1.9;0.90
146;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;8.9;9.9;1.9;1.9;2.9;6.9;7.9;4.9;4.9;0.90;0.90;0.90
147;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;9.0;11;2.0;4.0;1.00;8.0;9.0;4.0;6.0;2.0;5.0;6.0
148;0;0.0;0.0;4.6;749948;1732008;87;2.7;19;9.0;11;3.0;3.0;2.0;7.0;9.0;4.0;5.0;3.0;2.0;3.0
149;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;7.9;9.9;0.90;1.9;1.9;5.9;7.9;4.9;5.9;0.90;2.9;0.90
150;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;7.9;8.9;0.90;0.90;0.90;5.9;8.9;3.9;4.9;1.9;0.90;0.90
151;0;0.0;0.0;4.6;749948;1732008;87;2.7;19;9.0;10;3.0;3.0;1.00;6.0;10;4.0;6.0;2.0;2.0;1.00
152;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;8.0;10;1.00;2.0;1.00;6.0;9.0;5.0;6.0;1.00;1.00;1.00
153;0;0.0;0.0;4.6;749948;1732008;87;2.7;19;9.0;10;4.0;5.0;3.0;6.0;10;4.0;6.0;3.0;1.00;3.0
154;0;0.0;0.0;4.6;749948;1732008;87;2.7;19;9.9;9.9;1.9;0.90;0.90;6.9;9.9;4.9;5.9;1.9;1.9;1.9
155;0;0.0;0.0;4.6;749948;1732008;87;2.8;19;9.0;10;1.00;2.0;2.0;7.0;12;4.0;6.0;2.0;1.00;1.00
156;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;8.0;10;4.0;2.0;0.0;6.0;8.0;5.0;6.0;2.0;1.00;1.00
157;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;7.9;11;1.9;1.9;1.9;5.9;8.9;3.9;5.9;2.9;2.9;0.90
158;0;0.0;0.0;4.6;749948;1732008;87;2.7;19;9.9;9.9;1.9;2.9;1.9;5.9;9.9;4.9;5.9;2.9;0.90;3.9
159;0;0.0;0.0;4.6;749948;1732008;87;2.8;19;7.9;9.9;0.90;1.9;0.0;6.9;9.9;4.9;5.9;0.90;0.90;0.90
