time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3
291;0;0.0;0.0;13;1071840;2059404;91;25;19;64;66;60;60
292;0;0.0;0.0;13;1071840;2059404;91;26;19;67;67;63;63
293;0;0.0;0.0;13;1071840;2059404;91;28;19;68;69;65;63
294;0;0.0;0.0;13;1071840;2059404;91;17;19;38;44;39;41
295;0;0.0;0.0;13;1071840;2059404;91;16;19;37;34;34;36
296;0;0.0;0.0;13;1071840;2059404;91;16;19;29;35;27;37
297;0;0.0;0.0;13;1071840;2059404;91;16;19;35;41;38;39
298;0;0.0;0.0;13;1071840;2059404;91;16;19;33;38;44;38
299;0;0.0;0.0;13;1071840;2059404;91;15;19;32;42;29;37
300;0;0.0;0.0;13;1071840;2059404;91;15;19;28;35;25;35
301;0;0.0;0.0;13;1071840;2059404;92;19;19;52;53;50;51
302;0;0.0;0.0;13;1071840;2059404;92;15;19;28;30;29;27
303;0;0.0;0.0;13;1071840;2059404;92;19;19;38;55;51;54
304;0;0.0;0.0;13;1071840;2059404;91;19;19;38;46;47;51
305;0;0.0;0.0;13;1071840;2059404;91;15;19;23;28;28;33
306;0;0.0;0.0;13;1071840;2059404;91;18;19;35;44;47;43
307;0;0.0;0.0;13;1071840;2059404;91;16;19;29;34;38;31
308;0;0.0;0.0;13;1071840;2059404;91;19;19;43;61;70;58
309;0;0.0;0.0;13;1071840;2059404;91;16;19;29;35;33;32
310;0;0.0;0.0;13;1071840;2059404;92;28;19;66;81;81;79
311;0;0.0;0.0;13;1071840;2059404;91;19;19;35;49;45;47
312;0;0.0;0.0;13;1071840;2059404;91;16;19;29;28;36;35
313;0;0.0;0.0;13;1071840;2059404;91;18;19;34;45;48;46
314;0;0.0;0.0;13;1071840;2059404;91;16;19;29;29;35;35
315;0;0.0;0.0;13;1071840;2059404;91;17;19;36;40;46;42
316;0;0.0;0.0;13;1071840;2059404;91;15;19;26;28;31;33
317;0;0.0;0.0;13;1071840;2059404;91;15;19;27;28;33;34
